               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.058146,            0.020674,            0.071002,             0.66561,            0.057212,            0.038663,            0.022106,            0.062983,            0.014683,            0.072942,            0.007624,            0.007624,            0.007624
                  74,            0.059074,            0.020514,            0.071204,             0.38053,             0.10813,            0.046181,            0.027117,            0.063061,            0.014428,            0.073058,            0.007591,            0.007591,            0.007591
                  75,            0.057984,             0.01975,            0.071522,             0.37722,             0.13273,            0.050319,            0.028404,            0.062675,            0.015049,            0.073386,            0.007558,            0.007558,            0.007558
                  76,             0.05948,            0.021281,             0.07144,             0.39953,             0.11415,            0.045687,            0.024223,            0.062592,            0.014837,            0.072815,            0.007525,            0.007525,            0.007525
                  77,            0.058608,            0.020427,            0.070169,             0.54676,            0.091285,            0.046931,             0.02197,             0.06299,            0.014556,            0.072978,            0.007492,            0.007492,            0.007492
                  78,            0.059898,             0.02079,            0.070353,              0.6347,            0.054952,            0.047118,            0.022974,             0.06562,            0.015372,            0.073266,            0.007459,            0.007459,            0.007459
                  79,            0.058946,            0.020659,            0.070455,             0.66675,             0.05133,            0.044534,             0.02529,              0.0642,            0.015095,            0.073318,            0.007426,            0.007426,            0.007426
                  80,            0.058651,             0.02006,            0.070046,             0.29123,             0.20502,            0.044198,            0.024069,            0.062791,            0.015209,            0.073382,            0.007393,            0.007393,            0.007393
                  81,            0.057757,            0.019786,             0.06948,             0.51565,            0.087847,            0.045697,            0.027165,            0.062652,            0.014721,            0.072845,             0.00736,             0.00736,             0.00736
                  82,            0.057933,             0.02063,            0.070123,              0.4043,             0.10437,            0.043433,            0.024276,            0.064318,             0.01492,            0.072829,            0.007327,            0.007327,            0.007327
                  83,            0.058438,            0.020081,            0.069543,             0.50299,            0.079959,            0.043251,            0.024677,            0.062829,            0.014886,              0.0725,            0.007294,            0.007294,            0.007294
                  84,            0.059049,            0.019766,            0.070166,             0.63026,            0.067697,            0.053129,            0.027953,             0.06376,            0.014563,            0.072413,            0.007261,            0.007261,            0.007261
                  85,             0.05748,            0.019843,            0.069311,              0.5518,            0.068125,            0.048256,            0.026898,            0.063093,            0.014694,            0.072469,            0.007228,            0.007228,            0.007228
                  86,            0.057005,            0.019623,            0.069095,             0.59445,             0.06877,            0.042784,            0.024747,             0.06142,            0.014841,            0.072697,            0.007195,            0.007195,            0.007195
                  87,              0.0563,            0.019359,            0.069522,             0.62006,            0.064498,             0.04561,            0.023907,            0.063337,            0.014744,            0.072638,            0.007162,            0.007162,            0.007162
                  88,            0.058356,            0.019067,             0.06874,             0.73732,            0.060149,            0.067181,            0.029525,            0.062239,             0.01469,            0.072816,            0.007129,            0.007129,            0.007129
                  89,            0.056844,            0.019261,            0.069201,             0.70665,            0.069478,            0.073512,            0.031784,            0.062042,             0.01567,            0.072237,            0.007096,            0.007096,            0.007096
                  90,            0.057737,            0.020638,            0.068223,             0.62557,            0.064526,            0.050361,            0.028662,            0.062481,            0.014536,            0.072279,            0.007063,            0.007063,            0.007063
                  91,             0.05748,            0.019609,            0.068269,             0.38129,             0.11209,            0.055207,            0.031694,            0.062206,            0.014439,            0.072221,             0.00703,             0.00703,             0.00703
                  92,            0.056931,            0.020182,            0.067751,              0.7547,             0.05334,             0.06998,            0.034981,            0.061719,            0.014566,            0.072825,            0.006997,            0.006997,            0.006997
                  93,            0.056421,            0.019426,            0.068063,             0.61657,            0.087642,            0.059723,             0.03183,            0.062124,            0.014863,             0.07217,            0.006964,            0.006964,            0.006964
                  94,            0.056142,            0.019896,            0.068021,             0.53016,            0.082654,            0.058063,            0.030547,            0.062102,            0.014822,            0.072031,            0.006931,            0.006931,            0.006931
                  95,            0.056236,            0.019946,            0.068655,             0.59973,            0.080217,            0.053635,            0.028436,            0.062101,            0.015153,            0.073094,            0.006898,            0.006898,            0.006898
                  96,            0.056632,            0.018911,            0.067356,             0.46664,             0.10914,            0.063974,            0.034144,            0.061242,            0.014688,            0.071781,            0.006865,            0.006865,            0.006865
                  97,            0.055152,            0.018922,            0.067034,             0.41608,             0.11357,            0.058294,            0.031493,            0.062723,            0.014486,            0.072165,            0.006832,            0.006832,            0.006832
                  98,            0.056754,            0.020409,            0.066875,             0.43772,             0.10577,            0.060417,            0.032089,            0.061892,            0.015246,            0.072844,            0.006799,            0.006799,            0.006799
                  99,            0.056278,            0.019295,            0.066676,             0.49138,             0.09538,            0.056499,            0.032904,            0.063455,            0.014932,            0.072259,            0.006766,            0.006766,            0.006766
                 100,            0.054889,            0.018713,            0.067841,              0.4125,            0.086445,            0.048852,            0.028872,            0.062528,            0.015171,            0.071182,            0.006733,            0.006733,            0.006733
                 101,            0.055915,            0.020134,            0.065668,             0.49082,            0.071289,            0.039709,            0.021891,            0.061782,            0.015153,             0.07264,              0.0067,              0.0067,              0.0067
                 102,            0.055822,            0.020093,             0.06567,             0.43903,             0.11122,            0.050578,            0.025788,            0.061883,            0.014761,            0.072427,            0.006667,            0.006667,            0.006667
                 103,            0.055263,            0.019276,            0.067196,              0.4147,             0.11454,            0.066452,             0.02909,            0.062542,            0.014571,            0.072907,            0.006634,            0.006634,            0.006634
                 104,             0.05578,            0.019396,             0.06629,             0.50565,             0.10192,            0.052856,            0.026389,            0.062282,            0.014796,            0.072296,            0.006601,            0.006601,            0.006601
                 105,            0.057055,            0.019685,            0.065225,             0.36735,               0.133,             0.06056,            0.035617,            0.062464,            0.014617,            0.072019,            0.006568,            0.006568,            0.006568
                 106,            0.054856,            0.019488,             0.06605,             0.37556,             0.10519,            0.053252,            0.029934,               0.062,            0.014682,            0.071847,            0.006535,            0.006535,            0.006535
                 107,            0.054839,             0.01962,            0.065785,             0.60395,             0.07847,             0.05841,            0.030754,            0.061466,            0.014919,            0.072145,            0.006502,            0.006502,            0.006502
                 108,            0.055571,            0.020085,            0.064961,             0.47037,            0.074353,            0.054648,            0.029425,            0.061885,            0.014753,             0.07234,            0.006469,            0.006469,            0.006469
                 109,            0.056623,            0.018297,            0.066263,             0.41407,              0.1183,             0.05503,            0.029714,            0.061797,              0.0145,            0.071279,            0.006436,            0.006436,            0.006436
                 110,            0.055731,             0.01935,            0.064787,             0.48482,              0.1115,            0.056915,            0.034115,            0.061718,            0.014765,            0.071503,            0.006403,            0.006403,            0.006403
                 111,            0.055527,            0.019699,            0.064815,             0.47951,             0.11226,            0.058236,            0.034169,            0.061304,            0.014467,            0.071561,             0.00637,             0.00637,             0.00637
                 112,            0.053915,            0.019548,            0.063099,             0.43824,             0.14068,            0.058209,             0.03084,            0.061764,            0.014656,             0.07177,            0.006337,            0.006337,            0.006337
                 113,            0.053995,            0.018491,            0.064102,             0.40168,             0.11869,            0.057496,            0.034704,            0.061765,            0.014523,            0.072035,            0.006304,            0.006304,            0.006304
                 114,            0.054908,            0.018595,            0.063497,             0.35498,             0.16113,            0.066802,            0.035954,            0.061822,            0.014371,            0.070728,            0.006271,            0.006271,            0.006271
                 115,            0.052851,            0.019173,            0.064072,             0.51197,            0.098442,            0.067665,            0.029466,            0.061629,            0.014938,            0.071486,            0.006238,            0.006238,            0.006238
                 116,            0.053066,            0.018674,            0.063328,             0.39761,             0.14252,            0.059193,              0.0305,             0.06101,            0.014607,            0.073081,            0.006205,            0.006205,            0.006205
                 117,            0.053717,            0.018698,             0.06317,             0.55223,             0.10831,            0.068467,            0.038173,            0.061759,            0.014619,            0.070664,            0.006172,            0.006172,            0.006172
                 118,            0.054085,            0.018974,            0.063275,             0.43217,             0.11668,            0.068298,            0.038004,            0.061634,            0.014631,            0.070708,            0.006139,            0.006139,            0.006139
                 119,            0.054302,            0.019072,            0.062781,             0.45755,             0.11672,            0.079293,            0.036072,             0.06181,            0.015241,            0.071873,            0.006106,            0.006106,            0.006106
                 120,            0.053409,            0.019049,            0.061394,             0.40969,             0.12743,            0.060039,            0.032764,            0.061771,            0.014652,            0.071985,            0.006073,            0.006073,            0.006073
                 121,            0.053519,            0.018192,             0.06216,             0.42434,             0.13347,             0.06631,            0.030096,            0.061541,             0.01493,            0.071385,             0.00604,             0.00604,             0.00604
                 122,            0.054361,            0.019088,            0.062875,              0.5454,             0.09889,            0.073612,            0.036341,            0.060784,            0.014465,            0.071201,            0.006007,            0.006007,            0.006007
                 123,            0.053022,            0.018019,            0.062042,             0.40429,             0.13555,            0.068252,            0.035019,             0.06177,            0.014571,            0.071168,            0.005974,            0.005974,            0.005974
                 124,            0.053085,            0.018291,            0.061333,             0.40472,             0.12237,            0.052079,            0.027916,            0.062165,            0.014758,            0.072738,            0.005941,            0.005941,            0.005941
                 125,             0.05367,            0.019305,            0.061987,             0.64537,             0.07164,            0.080211,            0.041647,            0.060662,             0.01468,            0.071416,            0.005908,            0.005908,            0.005908
                 126,             0.05403,            0.019126,            0.061429,             0.44885,              0.1091,            0.066973,            0.032017,            0.062019,            0.014615,            0.071012,            0.005875,            0.005875,            0.005875
                 127,            0.052533,             0.01835,            0.061356,             0.35896,             0.12778,            0.059085,            0.029341,            0.061738,            0.014546,            0.071827,            0.005842,            0.005842,            0.005842
                 128,            0.052774,            0.018435,            0.061029,              0.6983,            0.079628,            0.075729,            0.039278,            0.061305,            0.014819,            0.070897,            0.005809,            0.005809,            0.005809
                 129,            0.052771,            0.019025,            0.060062,             0.40094,             0.12681,            0.058928,            0.031231,            0.061355,            0.014439,            0.071101,            0.005776,            0.005776,            0.005776
                 130,            0.052496,            0.018321,            0.060536,             0.43906,             0.12003,            0.070766,            0.043037,            0.061451,              0.0146,            0.071118,            0.005743,            0.005743,            0.005743
                 131,            0.052954,            0.018892,            0.061311,             0.43517,             0.12524,            0.066898,            0.038825,            0.061479,            0.014585,            0.070058,             0.00571,             0.00571,             0.00571
                 132,             0.05256,             0.01869,            0.060241,             0.42705,             0.11146,            0.061553,            0.035567,            0.060385,            0.014867,            0.070227,            0.005677,            0.005677,            0.005677
                 133,            0.052614,            0.018195,            0.060068,             0.42648,             0.12429,            0.064794,            0.037865,            0.060944,            0.014585,            0.069899,            0.005644,            0.005644,            0.005644
                 134,            0.052555,            0.018915,             0.05933,             0.59732,             0.10469,            0.069426,            0.040717,            0.061023,            0.014917,            0.070933,            0.005611,            0.005611,            0.005611
                 135,            0.051875,            0.018669,            0.058594,             0.43382,             0.10863,            0.067135,            0.037924,             0.06135,            0.014656,            0.070403,            0.005578,            0.005578,            0.005578
                 136,             0.05255,            0.017618,            0.057882,             0.45242,             0.10718,            0.065151,            0.038298,             0.06183,             0.01453,            0.071006,            0.005545,            0.005545,            0.005545
                 137,            0.052253,             0.01793,            0.058509,             0.64824,            0.080965,            0.072713,            0.038464,            0.061568,            0.014339,            0.070789,            0.005512,            0.005512,            0.005512
                 138,            0.052531,            0.018362,             0.05924,             0.42139,             0.12098,            0.069425,            0.035958,            0.061462,             0.01452,            0.070645,            0.005479,            0.005479,            0.005479
                 139,            0.051581,            0.018056,            0.058819,              0.4508,             0.10704,            0.070439,            0.038703,            0.061227,            0.014744,            0.070882,            0.005446,            0.005446,            0.005446
                 140,            0.053401,            0.018004,            0.058231,             0.50422,             0.08951,            0.072203,              0.0417,            0.062045,            0.014713,            0.071844,            0.005413,            0.005413,            0.005413
                 141,            0.052413,            0.018588,            0.058122,             0.45912,             0.10207,            0.075501,            0.040147,            0.061045,            0.015028,            0.071172,             0.00538,             0.00538,             0.00538
                 142,            0.052239,            0.018344,            0.058152,             0.43509,             0.10613,            0.073825,             0.04316,             0.06121,            0.014565,            0.071903,            0.005347,            0.005347,            0.005347
                 143,            0.052755,            0.018328,            0.057506,             0.51436,             0.10551,            0.076817,            0.042773,             0.06162,            0.014394,            0.071153,            0.005314,            0.005314,            0.005314
                 144,            0.053197,            0.018823,             0.05671,              0.4769,             0.10095,            0.063998,             0.03484,            0.061614,            0.014642,            0.071542,            0.005281,            0.005281,            0.005281
                 145,            0.052344,            0.017818,            0.057456,             0.43205,             0.11641,            0.064727,            0.033115,            0.061791,            0.014552,             0.07134,            0.005248,            0.005248,            0.005248
                 146,            0.051852,            0.018128,             0.05589,             0.37709,             0.12538,            0.065867,            0.036684,             0.06085,            0.014406,            0.071824,            0.005215,            0.005215,            0.005215
                 147,             0.05084,            0.017492,            0.056882,             0.38706,             0.12171,            0.062187,            0.034424,            0.060706,            0.014493,            0.071351,            0.005182,            0.005182,            0.005182
                 148,             0.05212,            0.018306,             0.05606,             0.43847,            0.090391,            0.068308,            0.042143,            0.060925,            0.014451,            0.072257,            0.005149,            0.005149,            0.005149
                 149,            0.050808,             0.01845,            0.055854,             0.38908,             0.13057,            0.089172,             0.04192,            0.061187,            0.014797,            0.072175,            0.005116,            0.005116,            0.005116
                 150,             0.05111,            0.018179,            0.056383,             0.51535,              0.1208,            0.076719,            0.043842,            0.060694,             0.01481,            0.070598,            0.005083,            0.005083,            0.005083
                 151,            0.052318,             0.01793,            0.055332,             0.33256,             0.15037,            0.065268,            0.037693,             0.06171,            0.014866,            0.072305,             0.00505,             0.00505,             0.00505
                 152,            0.050889,            0.017864,            0.054442,              0.5212,            0.093186,            0.064737,             0.03746,             0.06137,            0.014798,            0.072611,            0.005017,            0.005017,            0.005017
                 153,            0.052331,            0.018145,             0.05381,             0.39432,             0.13352,            0.064165,            0.035602,            0.060937,            0.014689,            0.071367,            0.004984,            0.004984,            0.004984
                 154,            0.052442,            0.017593,            0.054108,             0.46683,             0.10796,            0.071058,            0.040002,            0.060849,            0.014658,            0.071468,            0.004951,            0.004951,            0.004951
                 155,            0.050825,            0.017316,             0.05349,             0.42166,             0.11464,            0.071444,            0.041082,             0.06111,            0.014634,            0.072449,            0.004918,            0.004918,            0.004918
                 156,            0.051145,            0.017801,            0.054359,             0.54861,             0.09709,            0.071038,            0.039819,            0.060382,            0.014666,            0.070945,            0.004885,            0.004885,            0.004885
                 157,             0.05117,            0.017969,            0.054002,              0.4699,             0.10478,            0.065747,            0.036674,            0.061543,            0.014721,            0.071456,            0.004852,            0.004852,            0.004852
                 158,            0.050753,            0.017926,            0.052814,             0.34423,             0.14745,            0.072047,            0.037804,            0.061062,            0.014965,            0.072054,            0.004819,            0.004819,            0.004819
                 159,            0.051926,            0.018301,             0.05263,              0.4538,             0.11433,            0.085421,            0.041746,             0.06091,            0.014691,            0.072104,            0.004786,            0.004786,            0.004786
                 160,            0.051071,            0.017719,            0.053177,             0.45293,             0.10288,            0.069277,            0.036018,            0.061561,            0.014827,            0.071291,            0.004753,            0.004753,            0.004753
                 161,            0.049795,            0.017147,             0.05212,             0.58093,            0.095509,            0.080764,            0.042187,            0.061651,            0.014731,            0.071932,             0.00472,             0.00472,             0.00472
                 162,            0.051025,             0.01773,            0.051904,             0.45952,             0.11226,            0.072574,            0.039983,            0.060692,            0.014855,            0.072409,            0.004687,            0.004687,            0.004687
                 163,            0.050608,            0.017735,            0.051711,             0.46044,             0.10539,            0.078301,            0.041114,            0.060674,            0.014878,            0.072592,            0.004654,            0.004654,            0.004654
                 164,            0.050542,            0.017893,            0.052206,             0.43011,             0.11936,            0.075162,            0.038669,            0.061328,            0.014815,            0.072204,            0.004621,            0.004621,            0.004621
